"Rank","Name of Hospital","Address","City"
1,"UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER","750 EAST ADAMS STREET","SYRACUSE"
2,"ST ELIZABETH MEDICAL CENTER","2209 GENESEE STREET","UTICA"
3,"BROOKDALE HOSPITAL MEDICAL CENTER","LINDEN BOULEVARD AT BROOKDALE PLAZA","BROOKLYN"
4,"ALBANY MEDICAL CENTER HOSPITAL","43 NEW SCOTLAND AVENUE","ALBANY"
5,"UNITED HEALTH SERVICES HOSPITALS"," INC","33-57 HARRISON STREET"
6,"HEALTH ALLIANCE HOSPITAL BROADWAY CAMPUS","396 BROADWAY","KINGSTON"
7,"CONEY ISLAND HOSPITAL","2601 OCEAN PARKWAY","BROOKLYN"
8,"CROUSE HOSPITAL","736 IRVING AVENUE","SYRACUSE"
9,"NYACK HOSPITAL","160 NORTH MIDLAND AVENUE","NYACK"
10,"ST JOSEPH HOSPITAL","4295 HEMPSTEAD TURNPIKE","BETHPAGE"
11,"CATSKILL REGIONAL MEDICAL CENTER","68 HARRIS BUSHVILLE ROAD","HARRIS"
12,"NORTHERN WESTCHESTER HOSPITAL","400 EAST MAIN STREET","MOUNT KISCO"
13,"UNITY HOSPITAL OF ROCHESTER","1555 LONG POND ROAD","ROCHESTER"
14,"KENMORE MERCY HOSPITAL","2950 ELMWOOD AVENUE","KENMORE"
15,"CANTON-POTSDAM HOSPITAL","50 LEROY STREET","POTSDAM"
16,"EASTERN NIAGARA HOSPITAL","521 EAST AVENUE","LOCKPORT"
17,"MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","5300 MILITARY ROAD","LEWISTON"
18,"LEWIS COUNTY GENERAL HOSPITAL","7785 NORTH STATE STREET","LOWVILLE"
19,"OLEAN GENERAL HOSPITAL","515 MAIN STREET","OLEAN"
20,"LONG BEACH MEDICAL CENTER","455 EAST BAY DRIVE","LONG BEACH"
21,"BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","121 DEKALB AVENUE","BROOKLYN"
22,"ADIRONDACK MEDICAL CENTER","2233 STATE ROUTE 86","SARANAC LAKE"
23,"FAXTON-ST LUKE'S HEALTHCARE","1656 CHAMPLIN AVENUE","UTICA"
24,"MERCY HOSPITAL","565 ABBOTT ROAD","BUFFALO"
25,"HUNTINGTON HOSPITAL","270 PARK AVENUE","HUNTINGTON"
26,"NORTHERN DUTCHESS HOSPITAL","6511 SPRINGBROOK AVENUE","RHINEBECK"
27,"ST MARY'S HOSPITAL AT AMSTERDAM","427 GUY PARK AVENUE","AMSTERDAM"
28,"SAMARITAN MEDICAL CENTER","830 WASHINGTON STREET","WATERTOWN"
29,"SISTERS OF CHARITY HOSPITAL","2157 MAIN STREET","BUFFALO"
30,"NASSAU UNIVERSITY MEDICAL CENTER","2201 HEMPSTEAD TURNPIKE","EAST MEADOW"
31,"GLEN COVE HOSPITAL","101 ST ANDREWS LANE","GLEN COVE"
32,"JAMAICA HOSPITAL MEDICAL CENTER","89TH AVENUE AND VAN WYCK EXPRESSWAY","JAMAICA"
33,"NEWARK-WAYNE COMMUNITY HOSPITAL","111 DRIVING PARK AVENUE","NEWARK"
34,"NIAGARA FALLS MEMORIAL MEDICAL CENTER","621 TENTH STREET","NIAGARA FALLS"
35,"GENEVA GENERAL HOSPITAL","196 -198 NORTH STREET","GENEVA"
36,"SOUTH NASSAU COMMUNITIES HOSPITAL","ONE HEALTHY WAY","OCEANSIDE"
37,"PHELPS MEMORIAL HOSPITAL ASSN","701 NORTH BROADWAY","SLEEPY HOLLOW"
38,"NATHAN LITTAUER HOSPITAL","99 EAST STATE STREET","GLOVERSVILLE"
39,"OUR LADY OF LOURDES MEMORIAL HOSPITAL"," INC","169 RIVERSIDE DRIVE"
40,"ROME MEMORIAL HOSPITAL"," INC","1500 NORTH JAMES STREET"
41,"JONES MEMORIAL HOSPITAL","191 NORTH MAIN STREET","WELLSVILLE"
42,"ST PETER'S HOSPITAL","315 SOUTH MANNING BOULEVARD","ALBANY"
43,"KALEIDA HEALTH","726 EXCHANGE STREET"," SUITE 522"
44,"CHENANGO MEMORIAL HOSPITAL"," INC","179 NORTH BROAD STREET"
45,"ST JOSEPH'S HOSPITAL"," INC","555 ST JOSEPH'S BLVD"
46,"ALICE HYDE MEDICAL CENTER","133 PARK STREET","MALONE"
47,"FRANKLIN HOSPITAL","900 FRANKLIN AVENUE","VALLEY STREAM"
48,"HARLEM HOSPITAL CENTER","506 LENOX AVENUE","NEW YORK"
49,"ST FRANCIS HOSPITAL"," ROSLYN","100 PORT WASHINGTON BOULEVARD"
50,"WESTCHESTER MEDICAL CENTER","100 WOODS RD","VALHALLA"
51,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY"
52,"INTERFAITH MEDICAL CENTER","1545 ATLANTIC AVENUE","BROOKLYN"
53,"BELLEVUE HOSPITAL CENTER","462 FIRST AVENUE","NEW YORK"
54,"VASSAR BROTHERS MEDICAL CENTER","45 READE PLACE","POUGHKEEPSIE"
55,"GLENS FALLS HOSPITAL","100 PARK STREET","GLENS FALLS"
56,"ORANGE REGIONAL MEDICAL CENTER","707 EAST MAIN STREET","MIDDLETOWN"
57,"MEDINA MEMORIAL HOSPITAL","200 OHIO STREET","MEDINA"
58,"STATEN ISLAND UNIVERSITY HOSPITAL","475 SEAVIEW AVENUE","STATEN ISLAND"
59,"ARNOT OGDEN MEDICAL CENTER","600 ROE AVENUE","ELMIRA"
60,"GOOD SAMARITAN HOSPITAL MEDICAL CENTER","1000 MONTAUK HIGHWAY","WEST ISLIP"
61,"ST JAMES MERCY HOSPITAL","411 CANISTEO STREET","HORNELL"
62,"SARATOGA HOSPITAL","211 CHURCH STREET","SARATOGA SPRINGS"
63,"ST CATHERINE OF SIENA HOSPITAL","50 ROUTE 25A","SMITHTOWN"
64,"NICHOLAS H NOYES MEMORIAL HOSPITAL","111  CLARA BARTON STREET","DANSVILLE"
65,"COLUMBIA MEMORIAL HOSPITAL","71 PROSPECT AVENUE","HUDSON"
66,"ST JOHN'S RIVERSIDE HOSPITAL","976 NORTH BROADWAY","YONKERS"
67,"STRONG MEMORIAL HOSPITAL","601 ELMWOOD AVE","ROCHESTER"
68,"WOMAN'S CHRISTIAN ASSOCIATION","207 FOOTE AVENUE","JAMESTOWN"
69,"WYCKOFF HEIGHTS MEDICAL CENTER","374 STOCKHOLM STREET","BROOKLYN"
70,"TLC HEALTH NETWORK","100 MEMORIAL DRIVE","GOWANDA"
71,"ERIE COUNTY MEDICAL CENTER","462 GRIDER STREET","BUFFALO"
72,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN"," INC.","2525 KINGS HIGHWAY"
73,"ST CHARLES HOSPITAL","200 BELLE TERRE ROAD","PORT JEFFERSON"
74,"ONEIDA HEALTHCARE CENTER","321 GENESEE STREET","ONEIDA"
75,"UNITED MEMORIAL MEDICAL CENTER","127 NORTH STREET","BATAVIA"
76,"WYOMING COUNTY COMMUNITY HOSPITAL","400 NORTH MAIN STREET","WARSAW"
77,"ST JOSEPH'S MEDICAL CENTER","127 SOUTH BROADWAY","YONKERS"
78,"SOUTHAMPTON HOSPITAL","240 MEETING HOUSE LANE","SOUTHAMPTON"
79,"ST FRANCIS HOSPITAL","241 NORTH ROAD","POUGHKEEPSIE"
80,"WOODHULL MEDICAL AND MENTAL HEALTH CENTER","760 BROADWAY","BROOKLYN"
81,"CORTLAND REGIONAL MEDICAL CENTER"," INC","134 HOMER AVENUE"
82,"NEW YORK DOWNTOWN HOSPITAL","170 WILLIAM STREET","NEW YORK"
83,"ST ANTHONY COMMUNITY HOSPITAL","15 - 19  MAPLE AVENUE","WARWICK"
84,"CARTHAGE AREA HOSPITAL"," INC","1001 WEST STREET"
85,"KINGS COUNTY HOSPITAL CENTER","451 CLARKSON AVENUE","BROOKLYN"
86,"ST BARNABAS HOSPITAL","4422 THIRD AVENUE","BRONX"
87,"PUTNAM HOSPITAL CENTER","670 STONELEIGH AVENUE","CARMEL"
88,"F F THOMPSON HOSPITAL","350 PARRISH STREET","CANANDAIGUA"
89,"LUTHERAN MEDICAL CENTER","150 55TH STREET","BROOKLYN"
90,"SOUND SHORE MEDICAL CENTER OF WESTSCHESTER","16 GUION PLACE","NEW ROCHELLE"
91,"KINGSBROOK JEWISH MEDICAL CENTER","585 SCHENECTADY AVENUE","BROOKLYN"
92,"ROCHESTER GENERAL HOSPITAL","1425 PORTLAND AVENUE","ROCHESTER"
93,"BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER","101 HOSPITAL ROAD","PATCHOGUE"
94,"BROOKS MEMORIAL HOSPITAL","529 CENTRAL AVENUE","DUNKIRK"
95,"ST JOSEPH'S HOSPITAL HEALTH CENTER","301 PROSPECT AVENUE","SYRACUSE"
96,"CAYUGA MEDICAL CENTER AT ITHACA","101 DATES DRIVE","ITHACA"
97,"CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR","75 BEEKMAN STREET","PLATTSBURGH"
98,"WINTHROP-UNIVERSITY HOSPITAL","259 FIRST STREET","MINEOLA"
99,"AURELIA OSBORN FOX MEMORIAL HOSPITAL","ONE NORTON AVENUE","ONEONTA"
100,"NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS","56-45 MAIN STREET","FLUSHING"
101,"QUEENS HOSPITAL CENTER","82-68 164TH STREET","JAMAICA"
102,"EASTERN LONG ISLAND HOSPITAL","201 MANOR PLACE","GREENPORT"
103,"OSWEGO HOSPITAL","110 WEST SIXTH STREET","OSWEGO"
104,"COMMUNITY MEMORIAL HOSPITAL"," INC","150 BROAD STREET"
105,"GOOD SAMARITAN HOSPITAL OF SUFFERN","255 LAFAYETTE AVENUE","SUFFERN"
106,"ELLIS HOSPITAL","1101 NOTT STREET","SCHENECTADY"
107,"BRONX-LEBANON HOSPITAL CENTER","1276 FULTON AVENUE","BRONX"
108,"PLAINVIEW HOSPITAL","888 OLD COUNTRY ROAD","PLAINVIEW"
109,"BON SECOURS COMMUNITY HOSPITAL","160 EAST MAIN STREET","PORT JERVIS"
110,"ST MARY'S HOSPITAL ( TROY )","1300 MASSACHUSETTS AVENUE","TROY"
111,"JACOBI MEDICAL CENTER","1400 PELHAM PARKWAY SOUTH","BRONX"
112,"JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON","75 NORTH COUNTRY ROAD","PORT JEFFERSON"
113,"METROPOLITAN HOSPITAL CENTER","1901 FIRST AVENUE","NEW YORK"
114,"ELMHURST HOSPITAL CENTER","79-01 BROADWAY","ELMHURST"
115,"CLAXTON-HEPBURN MEDICAL CENTER","214 KING STREET","OGDENSBURG"
116,"MOUNT VERNON HOSPITAL","12 NORTH 7TH AVENUE","MOUNT VERNON"
117,"WHITE PLAINS HOSPITAL CENTER","41 EAST POST R0AD","WHITE PLAINS"
118,"CORNING HOSPITAL","176 DENISON PARKWAY EAST","CORNING"
119,"CLIFTON SPRINGS HOSPITAL AND CLINIC","2 COULTER ROAD","CLIFTON SPRINGS"
120,"HIGHLAND HOSPITAL","1000 SOUTH AVENUE","ROCHESTER"
121,"ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE","327 BEACH 19TH STREET","FAR ROCKAWAY"
122,"UNIVERSITY HOSPITAL ( STONY BROOK )","HEALTH SCIENCES CENTER SUNY","STONY BROOK"
123,"MASSENA MEMORIAL HOSPITAL","1 HOSPITAL DRIVE","MASSENA"
124,"RICHMOND UNIVERSITY MEDICAL CENTER","355 BARD AVENUE","STATEN ISLAND"
125,"SAMARITAN HOSPITAL","2215 BURDETT AVENUE","TROY"
126,"ST LUKE'S CORNWALL HOSPITAL","70 DUBOIS STREET","NEWBURGH"
127,"LINCOLN MEDICAL & MENTAL HEALTH CENTER","234 EAST 149TH STREET","BRONX"
128,"PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVENUE","RIVERHEAD"
129,"FLUSHING HOSPITAL MEDICAL CENTER","45TH AVENUE AND PARSONS BOULEVARD","FLUSHING"
130,"LONG ISLAND JEWISH MEDICAL CENTER","270 - 05 76TH AVENUE","NEW HYDE PARK"
131,"UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE )","445 LENOX ROAD","BROOKLYN"
132,"SOUTHSIDE HOSPITAL","301 EAST MAIN STREET","BAY SHORE"
133,"MERCY MEDICAL CENTER","1000 NORTH VILLAGE AVENUE","ROCKVILLE CENTRE"
134,"ST LUKE'S ROOSEVELT HOSPITAL","1111 AMSTERDAM AVENUE","NEW YORK"
135,"NEW YORK METHODIST HOSPITAL","506 SIXTH STREET","BROOKLYN"
136,"FOREST HILLS HOSPITAL","102 - 01 66TH ROAD","FOREST HILLS"
137,"NORTH SHORE UNIVERSITY HOSPITAL","300 COMMUNITY DRIVE","MANHASSET"
138,"LAWRENCE HOSPITAL CENTER","55 PALMER AVENUE","BRONXVILLE"
139,"HUDSON VALLEY HOSPITAL CENTER","1980 CROMPOND ROAD","CORTLANDT MANOR"
140,"MOUNT SINAI HOSPITAL","ONE GUSTAVE L LEVY PLACE","NEW YORK"
141,"LENOX HILL HOSPITAL","100 EAST 77TH STREET","NEW YORK"
142,"MARY IMOGENE BASSETT HOSPITAL","ONE ATWELL ROAD","COOPERSTOWN"
143,"MAIMONIDES MEDICAL CENTER","4802 TENTH AVENUE","BROOKLYN"
144,"BETH ISRAEL MEDICAL CENTER","FIRST AVENUE AT 16TH STREET","NEW YORK"
145,"AUBURN COMMUNITY HOSPITAL","17 LANSING STREET","AUBURN"
146,"MONTEFIORE MEDICAL CENTER","111 EAST 210TH STREET","BRONX"
147,"NEW YORK-PRESBYTERIAN HOSPITAL","525 EAST 68TH STREET","NEW YORK"
148,"NYU HOSPITALS CENTER","550 FIRST AVENUE","NEW YORK"
